id,headline
1,"Inflacja w Holandii przekroczyła 10 proc., a kraj ma coraz poważniejsze problemy z cenami energii."
2,"Istnieje ryzyko, że nasz kraj nie będzie w stanie wykorzystać przyznanych unijnych funduszy – alarmuje „Puls Biznesu”."
3,Skarb Państwa stworzy Polski Holding Hotelowy i skonsoliduje swoje aktywa hotelowe – poinformowała spółka Chopin Airport Development.
4,"Spośród 33 dużych krajów, które podały już dane gospodarcze dla pierwszego kwartału 2020 r., większy od Polski wzrost PKB rok do roku prezentuje tylko siedem – podaje businessinsider.com.pl."
5,Nowa elektrownia na węgiel kamienny Datteln 4 ma zostać oficjalnie uruchomiona w sobotę 30 maja 2020 r.
6,"– Agencja Moody’s skorygowała swoją prognozę wzrostu PKB trochę w górę, z 2,9 proc. do 3,2 proc."
7,"Niemcy zostają w tyle gospodarczo, ale nikt się tym nie przejmuje."
8,"W Orlenie miał miejsce proces wyprowadzania majątku za pomocą prostej metody: zyskowny wycinek otaczało się siecią umów, które odsączały zysk, a osłabioną strukturę sprzedawało się za półdarmo kumplom – mówi w wywiadzie dla tygodnika „Sieci” prezes Orlenu Daniel Obajtek."
9,Teraz bardziej prawdopodobny jest dalszy wzrost stóp procentowych – przyznaje prezes Narodowego Banku Polski Adam Glapiński.
10,"Inflacja w Turcji wyniosła w czerwcu 78,62 proc. w ujęciu rok do roku; to najwyższy poziom od 1998 r. – podał turecki państwowy urząd statystyczny TUIK."
11,Wiceprezes Polskiego Funduszu Rozwoju Bartosz Marczuk ujawnił w poście na platformie Twitter szacunkowe wysokości emerytur.
12,Christine Lagarde przez kolejne pięć lat będzie kierowała pracami Międzynarodowego Funduszu Walutowego.
13,Polskie Linie Lotnicze LOT uruchomiły regularne rejsy między Warszawą a Kownem.
14,"Z najnowszej wersji projektu ustawy o pracowniczych planach kapitałowych wynika, że najmniejsze firmy mogą uniknąć płacenia składek emerytalnych – informuje „Rzeczpospolita”."
15,"Zdecydowana większość, bo 68 proc. rodaków, pozytywnie ocenia swoją sytuację finansową.  22 proc. przyznaje, że ich sytuacja pogorszyła się w tym względzie, bo ich dochody zmalały wobec ubiegłego roku – wynika z raportu Krajowego Rejestru Długów „Portfel statystycznego Polaka”."
16,We Włoszech zakończyło się winobranie – ogłosił tamtejszy związek rolników.
17,W ciągu 10 lat Niemcy chcą zelektryfikować ponad 30 proc. przewozów ciężarówkami – informuje portal Wysokienapiecie.pl.
18,"Kanclerz RFN Olaf Scholz, który w czwartek składa wizytę w Tokio, powiedział na konferencji prasowej po spotkaniu z premierem Japonii Fumio Kishidą, że Niemcy muszą być przygotowane na możliwe wstrzymanie dostaw gazu z Rosji. – Wiemy, co zrobić w takiej sytuacji – zapewnił."
19,Poprawia się kondycja małych i średnich przedsiębiorstw.
20,"– Mam nadzieję, że wsparcie dla wrocławskich firm na ochronę miejsc pracy ruszy pełną parą – powiedziała szefowa MRPiPS Marlena Maląg."
21,Branża elektroniczna i motoryzacyjna nie są jedynymi stabilnymi gałęziami południowokoreańskiej gospodarki.
22,"Nie podwyższamy żadnego podatku w przyszłym roku; zmiany w spółkach komandytowych wynikają z potrzeby uszczelnienia systemu podatkowego – zapewnił minister finansów, funduszy i polityki regionalnej Tadeusz Kościński."
23,"Europosłanka PiS Anna Zalewska oceniła, że porozumienie z Czechami ws. kopalni Turów może zostać podpisane do końca stycznia."
24,"W 2023 ma zakończyć się działalność wydobywcza spółki OKD (Kopalnie Ostrawsko-Karwińskie), jedynego czeskiego producenta węgla kamiennego."
25,"25,5 miliona sztuk papierosów i 9 tysięcy litrów alkoholu zatrzymały od początku roku na polsko-ukraińskich przejściach granicznych podkarpackie służby celno-skarbowe."
26,Polskie Górnictwo Naftowe i Gazownictwo sprowadziło w niedzielę kolejny ładunek skroplonego gazu ziemnego LNG do Polski.
27,"Po wzroście sumy bilansowej o 20 proc., do 235 mld zł, bank Pekao stał się drugim bankiem w Polsce – oświadczył na konferencji prasowej p.o. prezes Pekao Leszek Skiba."
28,"Komisja Europejska zgodziła się we wtorek na udzielenie pomocy publicznej pogrążonemu w kryzysie włoskiemu bankowi Monte dei Paschi di Siena, w kwocie 5,4 mld euro."
29,"Na 4 listopada warszawski sąd okręgowy wyznaczył termin rozprawy w głośnej sprawie kredytu frankowego państwa Dziubaków, w związku z którą TSUE wydał w zeszłym tygodniu wyrok."
30,Ropa na amerykańskiej giełdzie paliw tanieje – inwestorzy analizują pojawiające się sygnały o odżywaniu popytu na paliwa w sytuacji dużej nadpodaży ropy na rynkach.
31,"W ostatnich dniach w Niemczech ukazały się m.in. raporty i badania opinii, z których wynika, że dokończenie gazociągu Nord Stream 2 będzie miało pozytywne konsekwencje, także dla Polski.   – Rosja korzysta z kryzysu, by rozgrywać państwa UE i burzyć europejską solidarność – ocenia rosyjską kampanię wokół gazociągu Nord Stream 2 prezes Instytutu Jagiellońskiego Marcin Roszkowski."
32,"Przygotowaliśmy projekt przepisów dotyczących ochrony odbiorców wrażliwych przed podwyżkami cen energii, przedstawiliśmy Radzie Ministrów i teraz czekamy na wpis do wykazu prac legislacyjnych rządu – powiedział minister Michał Kurtyka."
33,Rada Polityki Pieniężnej na czwartkowym posiedzeniu podniesie stopy procentowe o 75 pkt. bazowych – oceniają analitycy Ebury.
34,"– Przygotowujemy korzystne rozwiązania dla mniejszych firm, tak żeby szybki wzrost minimalnego wynagrodzenia zneutralizować poprzez obniżenie ZUS – powiedział w „Sygnałach Dnia” wicepremier Jarosław Gowin."
35,"Wzrost brytyjskiej gospodarki, mimo czerwcowej decyzji o wyjściu Wielkiej Brytanii z UE, jest silniejszy niż prognozowano."
36,"Stany Zjednoczone i Unia Europejska zwiększyły zakupy kluczowych metali przemysłowych – aluminium i niklu – z Rosji w okresie od marca do czerwca 2022 r., w porównaniu z tym samym okresem 2021 r. – donosi Agencja Reutera i powołuje się na bazę danych ONZ Comtrade, która dotyczy statystyk handlu towarami."
37,"Kolejna idea, która zmieni świat, może narodzić się gdziekolwiek – również w Europie Środkowej."
38,Wiceminister finansów Wiesław Janczyk: rząd Prawa i Sprawiedliwości wyciąga Polskę z przepaści deficytu.
39,Krajowy rynek roślinnych zamienników białka zwierzęcego wzrósł w ubiegłym roku o 28 proc.; przekroczy wartość 600 mln zł – pisze „Puls Biznesu”.
40,"– Jeżeli różnica wynosi pół miliarda złotych, to ktoś musiał popełnić błąd: albo jedna oferta jest zbyt wysoka, albo druga zbyt niska."
41,W 2021 roku w Hiszpanii zamkniętych zostało ponad 3000 oddziałów bankowych.
42,Prezydent Francji Emmanuel Macron zapowiedział ograniczenia wykupu gruntów rolnych przez cudzoziemców.
43,"Nie ma na razie żadnych podstaw, by sądzić, że koncern Volkswagen manipulował pomiarami toksyczności spalin nie tylko w samochodach z silnikami Diesla, lecz również w pojazdach benzynowych – oświadczyło w niedzielę niemieckie ministerstwo transportu."
44,W programie „Antykryzys.
45,Węgierski rząd wszczął postępowanie konsumenckie przeciwko jednej z największych tanich linii lotniczych – Wizzair.
46,Przez niewielki błąd w nazwie jednej z instytucji udało się zapobiec kradzieży blisko 870 mln dolarów z kont bankowych.
47,„Perspektywy są katastrofalne” – to słowa z listu grupy 400 właścicieli barów i restauracji w Rzymie do burmistrz Virginii Raggi.
48,Piąty rok z rzędu na świecie odnotowano spadek sprzedaży broni.
49,"Gang, który rządził wołomińską kasą, inwestował grube miliony na wielu polach: od mediów i turystyki przez firmy produkcyjne... po krematorium – ujawnia „Puls Biznesu”."
50,"Rozważane są różne koncepcje opodatkowania tzw. śmieciowego jedzenia, ale nie wiadomo, czy decyzje w tej sprawie zostaną podjęte – poinformował w odpowiedzi na interpelacje poselska wiceminister finansów Wiesław Janczyk."
