sentence,label
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
